Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,2.030000,2.165000,2.030000,2.160000,2.160000,325400
2023-04-28,2.170000,2.240000,2.100000,2.220000,2.220000,249800
2023-05-01,2.230000,2.230000,2.030000,2.070000,2.070000,334500
2023-05-02,2.050000,2.105000,2.010000,2.070000,2.070000,230300
2023-05-03,2.060000,2.240000,2.030000,2.170000,2.170000,405700
2023-05-04,1.780000,1.800000,1.160000,1.750000,1.750000,4167000
2023-05-05,1.690000,1.990000,1.650000,1.870000,1.870000,1391200
2023-05-08,1.940000,2.350000,1.910000,2.270000,2.270000,2969600
2023-05-09,2.280000,2.300000,1.900000,1.930000,1.930000,1221700
2023-05-10,1.990000,1.990000,1.700000,1.730000,1.730000,886200
2023-05-11,1.730000,1.780000,1.610000,1.770000,1.770000,604300
2023-05-12,1.780000,1.790000,1.680000,1.790000,1.790000,424900
2023-05-15,1.770000,1.900000,1.690000,1.890000,1.890000,719400
2023-05-16,1.820000,1.920000,1.800000,1.880000,1.880000,382600
2023-05-17,1.890000,2.130000,1.860000,2.080000,2.080000,715700
2023-05-18,2.150000,2.560000,2.120000,2.440000,2.440000,1707400
2023-05-19,2.590000,3.730000,2.530000,3.220000,3.220000,8916800
2023-05-22,3.160000,4.380000,2.970000,4.350000,4.350000,4137500
2023-05-23,4.230000,4.890000,3.330000,4.260000,4.260000,3426100
2023-05-24,4.200000,4.310000,3.600000,4.130000,4.130000,1495500
2023-05-25,4.310000,4.800000,4.001000,4.230000,4.230000,1894000
2023-05-26,4.210000,4.634000,3.970000,4.170000,4.170000,1199200
2023-05-30,4.250000,4.605000,4.180000,4.370000,4.370000,886100
2023-05-31,4.510000,4.830000,4.310000,4.770000,4.770000,1781400
2023-06-01,4.770000,5.320000,4.640000,5.200000,5.200000,1503800
2023-06-02,5.340000,5.350000,4.740000,4.920000,4.920000,1074100
2023-06-05,5.050000,5.790000,5.000000,5.760000,5.760000,1660500
